state,county,region,metro,population,income_per_cap,unemployment,land_area
Alabama,Autauga,South,Metro,55221,24974,7.6,594.44
Alabama,Baldwin,South,Metro,195121,27317,7.5,1589.78
Alabama,Barbour,South,Nonmetro,26932,16824,17.6,884.88
Alabama,Bibb,South,Metro,22604,18431,8.3,622.58
Alabama,Blount,South,Metro,57710,20532,7.7,644.78
Alabama,Bullock,South,Nonmetro,10678,17580,18,622.81
Alabama,Butler,South,Nonmetro,20354,18390,10.9,776.83
Alabama,Calhoun,South,Metro,116648,21374,12.3,605.87
Alabama,Chambers,South,Nonmetro,34079,21071,8.9,596.53
Alabama,Cherokee,South,Nonmetro,26008,21811,7.9,553.7
Alabama,Chilton,South,Metro,43819,21399,9.1,692.85
Alabama,Choctaw,South,Nonmetro,13395,20755,13.6,913.5
Alabama,Clarke,South,Nonmetro,25070,20064,19.4,1238.47
Alabama,Clay,South,Nonmetro,13537,18905,9.4,603.96
Alabama,Cleburne,South,Nonmetro,15002,20151,8.3,560.1
Alabama,Coffee,South,Nonmetro,50884,24936,7.1,678.97
Alabama,Colbert,South,Metro,54444,22546,9,592.62
Alabama,Conecuh,South,Nonmetro,12865,15968,22.6,850.16
Alabama,Coosa,South,Nonmetro,11027,17519,17,650.93
Alabama,Covington,South,Nonmetro,37886,20977,11.2,1030.46
Alabama,Crenshaw,South,Nonmetro,13938,20585,9.7,608.84
Alabama,Cullman,South,Nonmetro,80965,20881,7.3,734.84
Alabama,Dale,South,Nonmetro,49866,22566,10.9,561.15
Alabama,Dallas,South,Nonmetro,42154,17808,16.4,978.7
Alabama,DeKalb,South,Nonmetro,71068,18411,7.7,777.09
Alabama,Elmore,South,Metro,80763,24381,8.3,618.49
Alabama,Escambia,South,Nonmetro,37935,17045,15.6,945.08
Alabama,Etowah,South,Metro,103766,20500,9,534.99
Alabama,Fayette,South,Nonmetro,16896,19545,10,627.66
Alabama,Franklin,South,Nonmetro,31634,18595,9.8,633.82
Alabama,Geneva,South,Metro,26815,20224,11.2,574.41
Alabama,Greene,South,Nonmetro,8697,13611,20.4,647.11
Alabama,Hale,South,Metro,15256,18877,13.3,643.94
Alabama,Henry,South,Metro,17252,22931,8.1,561.75
Alabama,Houston,South,Metro,103534,23925,8.3,579.82
Alabama,Jackson,South,Nonmetro,52860,20066,10.1,1077.87
Alabama,Jefferson,South,Metro,659026,27240,9.1,1111.28
Alabama,Lamar,South,Nonmetro,14133,20130,10.2,604.85
Alabama,Lauderdale,South,Metro,92737,24215,7.1,667.7
Alabama,Lawrence,South,Metro,33586,21369,9.8,690.68
Alabama,Lee,South,Metro,150982,24356,7.3,607.54
Alabama,Limestone,South,Metro,88805,25569,7.8,559.94
Alabama,Lowndes,South,Metro,10742,18429,13.2,715.91
Alabama,Macon,South,Nonmetro,20018,17374,16.9,608.89
Alabama,Madison,South,Metro,346438,32131,8.5,801.59
Alabama,Marengo,South,Nonmetro,20306,21471,11.4,976.88
Alabama,Marion,South,Nonmetro,30387,20042,9.9,742.29
Alabama,Marshall,South,Nonmetro,94318,21363,8.4,565.84
Alabama,Mobile,South,Metro,414251,22953,9.8,1229.44
Alabama,Monroe,South,Nonmetro,22217,15863,20.7,1025.68
Alabama,Montgomery,South,Metro,228138,25138,8.8,784.25
Alabama,Morgan,South,Metro,119786,24449,9.9,579.34
Alabama,Perry,South,Nonmetro,10038,14804,11.2,719.66
Alabama,Pickens,South,Metro,19856,17957,13.8,881.41
Alabama,Pike,South,Nonmetro,33155,19415,10.2,672.09
Alabama,Randolph,South,Nonmetro,22648,19363,10.3,580.55
Alabama,Russell,South,Metro,58302,19882,11.1,641.14
Alabama,St. Clair,South,Metro,85864,24168,8.4,631.9
Alabama,Shelby,South,Metro,203530,33494,5.5,784.93
Alabama,Sumter,South,Nonmetro,13341,12887,16.8,903.89
Alabama,Talladega,South,Nonmetro,81437,19598,13.8,736.78
Alabama,Tallapoosa,South,Nonmetro,41153,21177,9,716.52
Alabama,Tuscaloosa,South,Metro,200458,23124,7.6,1321.76
Alabama,Walker,South,Metro,65923,20166,11.4,791.19
Alabama,Washington,South,Nonmetro,16997,19743,20,1080.21
Alabama,Wilcox,South,Nonmetro,11235,14170,20.8,888.5
Alabama,Winston,South,Nonmetro,24130,18808,9.6,612.98
Alaska,Aleutians East Borough,West,Nonmetro,3304,28608,2.9,6981.94
Alaska,Aleutians West Census Area,West,Nonmetro,5684,31754,2.1,4390.28
Alaska,Anchorage Municipality,West,Metro,299107,36920,6.7,1704.68
Alaska,Bethel Census Area,West,Nonmetro,17776,17746,17.6,40570
Alaska,Bristol Bay Borough,West,Nonmetro,970,38267,5.4,503.84
Alaska,Denali Borough,West,Nonmetro,2060,35315,2.3,12751.41
Alaska,Dillingham Census Area,West,Nonmetro,4979,22257,12.5,18568.78
Alaska,Fairbanks North Star Borough,West,Metro,99705,33244,7.9,7338.21
Alaska,Haines Borough,West,Nonmetro,2560,33902,3,2318.6
Alaska,Hoonah-Angoon Census Area,West,Nonmetro,2128,30943,13.1,7524.92
Alaska,Juneau City and Borough,West,Nonmetro,32531,39979,5.2,2701.93
Alaska,Kenai Peninsula Borough,West,Nonmetro,57221,31537,9.4,16075.33
Alaska,Ketchikan Gateway Borough,West,Nonmetro,13699,32021,7.9,4858.41
Alaska,Kodiak Island Borough,West,Nonmetro,13973,30657,6.3,6549.58
Alaska,Lake and Peninsula Borough,West,Nonmetro,1474,23041,9.8,23652.01
Alaska,Matanuska-Susitna Borough,West,Metro,96178,29913,9.8,24607.9
Alaska,Nome Census Area,West,Nonmetro,9854,19804,16.5,22961.76
Alaska,North Slope Borough,West,Nonmetro,9667,51085,9.3,88695.41
Alaska,Northwest Arctic Borough,West,Nonmetro,7732,21101,21.9,35572.58
Alaska,Petersburg Borough,West,Nonmetro,3221,34884,8.4,3281.98
Alaska,Prince of Wales-Hyder Census Area,West,Nonmetro,6376,25205,13.9,3922.87
Alaska,Sitka City and Borough,West,Nonmetro,8943,33890,3.8,2870.34
Alaska,Skagway Municipality,West,Nonmetro,999,38696,7.8,452.33
Alaska,Southeast Fairbanks Census Area,West,Nonmetro,7029,30079,9.4,24768.81
Alaska,Valdez-Cordova Census Area,West,Nonmetro,9617,33293,10.7,34239.88
Alaska,Wrangell City and Borough,West,Nonmetro,2387,30089,7.5,2541.48
Alaska,Yakutat City and Borough,West,Nonmetro,643,33159,7.9,7649.46
Alaska,Yukon-Koyukuk Census Area,West,Nonmetro,5644,20698,18.2,145504.79
Arizona,Apache,West,Nonmetro,72124,13011,18.2,11197.52
Arizona,Cochise,West,Metro,129647,23506,8.7,6165.69
Arizona,Coconino,West,Metro,136701,24308,8.8,18618.89
Arizona,Gila,West,Nonmetro,53165,20583,12.8,4757.93
Arizona,Graham,West,Nonmetro,37407,17481,14.1,4622.6
Arizona,Greenlee,West,Nonmetro,9023,21994,10,1843.13
Arizona,La Paz,West,Nonmetro,20335,20439,11.2,4499.63
